word_count,sentence_count,avg_sentence_len,legal_density,char_count,unique_words,lexical_richness,year,cohort,outcome
4008,229,17.59,0.2994,23779,1026,0.2685,1990,A_1990_2000,0
13796,552,25.03,0.0942,82808,2296,0.1785,1990,A_1990_2000,1
8167,301,27.12,0.2204,46679,1514,0.1959,1990,A_1990_2000,1
4530,220,20.5,0.1987,26406,1128,0.2625,1990,A_1990_2000,1
20716,745,27.55,0.0965,123362,2907,0.15,1990,A_1990_2000,0
4270,231,18.43,0.2576,24837,1158,0.2852,1990,A_1990_2000,0
6734,247,27.25,0.1782,40454,1304,0.2054,1990,A_1990_2000,0
3457,200,17.06,0.405,20610,1026,0.313,1990,A_1990_2000,1
1769,105,16.71,0.3392,10568,545,0.3233,1990,A_1990_2000,1
2509,122,20.57,0.3587,14828,786,0.3316,1990,A_1990_2000,1
1403,60,23.27,0.4989,8247,523,0.3892,1990,A_1990_2000,0
2807,142,19.76,0.3919,16527,773,0.2875,1990,A_1990_2000,0
12506,573,21.71,0.104,71340,2197,0.1848,1990,A_1990_2000,1
3967,135,29.32,0.3025,24106,916,0.2458,1990,A_1990_2000,0
4861,183,26.49,0.1851,28823,1278,0.2806,1990,A_1990_2000,1
2437,119,20.38,0.2872,14336,758,0.3332,1990,A_1990_2000,1
6784,350,19.31,0.1474,40000,1336,0.208,1990,A_1990_2000,0
6625,286,23.16,0.1057,38898,1384,0.2199,1990,A_1990_2000,1
11268,450,25.12,0.1154,64370,2047,0.192,1990,A_1990_2000,1
3101,157,19.78,0.3225,18258,877,0.2989,1990,A_1990_2000,0
1526,79,19.28,0.5898,9367,494,0.3467,1990,A_1990_2000,0
681,44,15.05,0.7342,4307,288,0.4508,1990,A_1990_2000,1
2637,197,13.24,0.3034,15193,777,0.3072,1990,A_1990_2000,1
4666,226,20.62,0.2357,27615,1155,0.2634,1990,A_1990_2000,1
2630,110,23.75,0.4563,15474,775,0.3106,1990,A_1990_2000,0
3693,187,19.58,0.2166,21799,1119,0.3149,1990,A_1990_2000,1
4193,224,18.71,0.2146,24178,1060,0.2645,1990,A_1990_2000,1
3270,159,20.52,0.4281,18942,827,0.2703,1990,A_1990_2000,1
3465,169,20.47,0.202,20187,869,0.2615,1990,A_1990_2000,1
85219,3833,22.15,0.027,508889,8912,0.1114,1990,A_1990_2000,0
2206,124,17.58,0.408,12931,678,0.3232,1990,A_1990_2000,2
5897,233,25.13,0.2035,35439,1229,0.2232,1990,A_1990_2000,1
425,23,18.04,0.9412,2425,213,0.5412,1990,A_1990_2000,1
5571,263,21.16,0.1975,32510,1433,0.2768,1990,A_1990_2000,1
2389,132,17.99,0.3349,14459,656,0.2947,1990,A_1990_2000,1
779,35,21.66,0.6418,4612,297,0.4005,1990,A_1990_2000,0
1898,90,20.84,0.3688,11650,573,0.3188,1990,A_1990_2000,1
9583,322,29.75,0.1461,55171,1820,0.1984,1990,A_1990_2000,1
1711,93,18.46,0.4091,10316,495,0.3139,1990,A_1990_2000,0
5365,209,25.64,0.1864,32765,1131,0.2216,1990,A_1990_2000,0
5563,299,18.35,0.1798,32487,1290,0.2463,1990,A_1990_2000,1
6804,307,21.87,0.1617,39677,1428,0.2203,1990,A_1990_2000,0
4540,220,20.47,0.2203,27389,1058,0.2491,1990,A_1990_2000,0
3536,139,25.33,0.3394,21318,943,0.2814,1990,A_1990_2000,1
6003,245,24.44,0.2499,37134,1335,0.2347,1990,A_1990_2000,0
5672,200,28.34,0.141,32330,1023,0.1913,1990,A_1990_2000,1
6094,232,26.19,0.1641,35966,1148,0.2043,1990,A_1990_2000,0
6617,361,18.2,0.1965,37092,1431,0.2293,1990,A_1990_2000,0
4815,194,24.92,0.3323,28813,1245,0.2721,1990,A_1990_2000,1
3607,148,24.36,0.2495,21182,711,0.211,1990,A_1990_2000,1
1255,70,17.79,0.4781,7483,445,0.3729,1990,A_1990_2000,1
2814,121,23.26,0.3554,16506,699,0.2637,1990,A_1990_2000,1
4101,219,18.48,0.2438,24878,966,0.2499,1990,A_1990_2000,1
5787,232,25.07,0.2419,34614,1324,0.2431,1990,A_1990_2000,1
952,45,20.64,0.7353,5406,310,0.3393,1990,A_1990_2000,1
2154,121,17.64,0.2786,12715,754,0.3598,1990,A_1990_2000,0
8997,527,17.15,0.1223,51918,1710,0.2014,1990,A_1990_2000,2
3154,126,24.96,0.4122,18305,768,0.2584,1990,A_1990_2000,1
3135,169,18.54,0.2552,18534,776,0.2622,1990,A_1990_2000,0
5022,264,18.91,0.3584,29904,1282,0.2696,1990,A_1990_2000,0
4013,172,23.22,0.3239,23703,798,0.2138,1990,A_1990_2000,1
874,55,15.62,0.6865,5117,373,0.4394,1990,A_1990_2000,1
3222,126,25.52,0.2173,18976,728,0.2377,1990,A_1990_2000,1
4914,256,19.2,0.2849,29568,1143,0.2436,1990,A_1990_2000,0
2502,158,15.74,0.3197,14565,813,0.3425,1990,A_1990_2000,1
1558,59,26.15,0.6418,8851,555,0.3716,1990,A_1990_2000,0
2866,149,18.95,0.314,16556,670,0.2484,1990,A_1990_2000,0
5531,235,23.4,0.1808,33056,1010,0.1949,1990,A_1990_2000,1
4950,258,19.16,0.2222,29298,1229,0.2648,1990,A_1990_2000,1
3897,191,20.29,0.2566,23350,1022,0.2779,1990,A_1990_2000,1
5267,181,29.07,0.2278,31217,1220,0.2444,1990,A_1990_2000,0
1810,81,22.21,0.3315,10216,525,0.3033,1990,A_1990_2000,1
10026,482,20.65,0.0898,58923,2155,0.2262,1990,A_1990_2000,1
1811,109,16.62,0.5522,10461,562,0.3274,1990,A_1990_2000,2
6244,345,17.85,0.2082,35854,1350,0.2277,1990,A_1990_2000,1
8073,487,16.42,0.161,49060,1706,0.224,1990,A_1990_2000,1
2723,163,16.5,0.2938,16146,817,0.3221,1990,A_1990_2000,1
2767,131,21.02,0.2891,16313,699,0.27,1990,A_1990_2000,1
1793,96,18.42,0.3904,10343,619,0.3642,1990,A_1990_2000,1
1107,67,16.4,0.6323,6832,390,0.383,1990,A_1990_2000,0
12495,601,20.72,0.12,70656,2240,0.1898,1990,A_1990_2000,0
2488,127,19.41,0.3215,14399,800,0.3368,1990,A_1990_2000,0
1316,78,16.65,0.8359,7899,468,0.3777,1990,A_1990_2000,0
952,49,19.41,0.5252,5710,369,0.4181,1990,A_1990_2000,0
802,38,21.03,1.1222,4832,364,0.4726,1990,A_1990_2000,1
8987,328,27.45,0.2003,53886,1910,0.2241,1990,A_1990_2000,0
4500,244,18.25,0.2889,27575,1077,0.2558,1990,A_1990_2000,1
5133,290,17.58,0.2727,30552,1329,0.2735,1990,A_1990_2000,1
1163,81,14.41,0.4299,6759,445,0.3998,1990,A_1990_2000,1
10382,547,19.01,0.0963,59008,1687,0.1702,1990,A_1990_2000,2
1983,100,19.69,0.4034,12102,670,0.3596,1990,A_1990_2000,2
5829,244,23.9,0.1544,34319,1055,0.194,1990,A_1990_2000,1
835,48,17.27,0.8383,4877,369,0.4683,1990,A_1990_2000,0
1960,121,16.21,0.4592,11524,535,0.2867,1990,A_1990_2000,1
838,35,23.74,0.9547,5104,321,0.4033,1990,A_1990_2000,1
1053,67,15.58,0.8547,6375,398,0.4046,1990,A_1990_2000,0
658,30,21.87,0.9119,3929,283,0.4635,1990,A_1990_2000,0
652,34,18.94,0.6135,3931,290,0.4693,1990,A_1990_2000,1
9067,354,25.55,0.2206,53535,1763,0.2028,1990,A_1990_2000,1
3294,162,20.4,0.2429,19214,843,0.2726,1990,A_1990_2000,0
21430,1068,20.04,0.0513,123186,3067,0.1514,1990,A_1990_2000,1
12140,530,22.8,0.1153,74090,2137,0.1898,1990,A_1990_2000,1
1377,52,26.29,0.4357,8013,424,0.3195,1990,A_1990_2000,1
1001,51,19.43,0.6993,6065,369,0.3856,1990,A_1990_2000,1
573,40,14.28,1.2216,3582,255,0.466,1990,A_1990_2000,0
2296,122,18.68,0.3484,13440,719,0.331,1990,A_1990_2000,0
1344,71,18.75,0.6696,8161,466,0.3683,1990,A_1990_2000,0
432,19,22.63,1.1574,2550,197,0.4792,1990,A_1990_2000,1
6188,235,26.34,0.2101,38164,1040,0.1808,1990,A_1990_2000,1
22182,859,25.69,0.0541,128877,3870,0.1838,1990,A_1990_2000,1
1913,64,29.72,0.3136,10953,554,0.298,1990,A_1990_2000,0
8491,407,20.77,0.1413,49957,1735,0.2163,1990,A_1990_2000,1
4921,191,25.61,0.1016,29326,1264,0.266,1990,A_1990_2000,1
1180,84,13.82,0.5085,6862,468,0.4127,1990,A_1990_2000,1
8619,506,16.83,0.1044,50383,1816,0.2218,1990,A_1990_2000,1
774,51,14.9,0.9044,4630,362,0.491,1990,A_1990_2000,0
16332,567,28.83,0.098,96372,3037,0.1954,1990,A_1990_2000,1
3140,192,16.3,0.3185,18760,887,0.2955,1990,A_1990_2000,0
3021,161,18.68,0.331,17202,866,0.3042,1990,A_1990_2000,1
870,47,18.13,1.1494,5236,356,0.4264,1990,A_1990_2000,1
743,48,15.48,0.9421,4309,344,0.4939,1990,A_1990_2000,0
2096,83,25.19,0.4294,11628,605,0.2987,1990,A_1990_2000,0
12915,573,22.59,0.0852,76256,2476,0.2026,1990,A_1990_2000,1
2752,134,20.4,0.2544,16163,637,0.2453,1990,A_1990_2000,1
2200,124,17.86,0.2727,12890,607,0.2964,1990,A_1990_2000,0
3206,176,18.2,0.4055,19048,728,0.2445,1990,A_1990_2000,0
3528,166,21.23,0.2551,19985,758,0.2302,1990,A_1990_2000,0
6348,206,30.85,0.2363,37704,1349,0.2231,1990,A_1990_2000,1
1069,55,19.24,0.6548,6186,354,0.3573,1990,A_1990_2000,0
3808,203,18.55,0.3414,22052,905,0.2529,1990,A_1990_2000,1
6551,296,22.08,0.1221,38759,1399,0.2249,1990,A_1990_2000,1
