Feature,Mean_Abs_SHAP
stands allowed,0.74478763
appeal allowed,0.5566925
accordingly dismissed,0.44701603
stands dismissed,0.410659
hereby dismissed,0.25011423
accordingly allowed,0.19982713
allowed accordingly,0.19968171
partly allowed,0.19421688
set aside,0.15648009
evidence also,0.13160077
dismissed indian,0.10536812
we allow,0.101581424
is allowed,0.09849837
are allowed,0.098436736
is partly,0.08235664
is dismissed,0.07528041
they saw,0.07526816
is set,0.06427663
alleging,0.058698043
appellants who,0.054703627
